"today","region","sex","age","married","christ","children","education","gaccra","pay_bribe","surveyChoice","rand_number","rand_number6","rand_number2_2","rand_number2_3","rand_number2_4","rand_number2_5","rand_number2_6","gender","corrupt","financial_pressure","john","ethnic_1","ethnic_2","ethnic_3","ethnic_4","ethnic_5","ethnic_6","ethnic_7","ethnic_8","ethnic_9","ethnic_10","ethnic_11","ethnic_12","ethnic_13","ethnic_14","ethnic_15","ethnic_16","ethnic_17","ethnic_18","ethnic_19","ethnic_20","ethnic_21"
"19-Sep-17",2,1,43,0,1,3,4,0,NA,6,NA,0.681664183,NA,NA,NA,NA,0.856755476,4,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19-Sep-17",2,0,40,0,1,2,9,0,NA,4,NA,0.107669056,NA,NA,0.591804534,NA,NA,1,7,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,32,1,1,2,6,1,NA,4,NA,0.083801641,NA,NA,0.250958994,NA,NA,1,7,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,28,1,1,2,6,1,1,1,0.110191326,0.853198619,NA,NA,NA,NA,NA,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,32,1,1,2,6,1,1,4,NA,0.352565986,NA,NA,0.1439222,NA,NA,1,7,50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,30,0,1,2,5,1,NA,1,0.967394619,0.686681615,NA,NA,NA,NA,NA,2,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"18-Sep-17",1,0,62,1,1,4,5,1,NA,1,0.111938231,0.726198854,NA,NA,NA,NA,NA,1,7,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Sep-17",3,1,23,0,0,0,1,0,NA,4,NA,0.397452536,NA,NA,0.352987692,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"19-Sep-17",3,0,51,1,1,3,5,0,NA,2,NA,0.122242811,0.591541209,NA,NA,NA,NA,1,7,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Sep-17",3,1,58,1,1,3,6,0,NA,6,NA,0.108638117,NA,NA,NA,NA,0.022894884,1,7,400,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
